Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Senior Python Engineer,Brainology,"Cairo, Egypt",27 days ago,Full Time,Experienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· Computer Science· Information Technology (IT)· Engineering· Software Development,https://wuzzuf.net/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt",1 month ago,Full Time,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· Computer Science· Software Engineering· Framework· Software Development· AWS· Information Technology (IT)· javaScript,https://wuzzuf.net/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Backend Software Engineer [Python],FlairsTech,"Cairo, Egypt",1 month ago,Full Time,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· AWS· SQL· backend· Cloud· TDD· APIs· Computer Science,https://wuzzuf.net/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Software Engineer (Python),Paymob Solutions,"Maadi, Cairo, Egypt",1 month ago,Full Time,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· AWS·Python· PHP· MySQL· JavaScript· JSON· Information Technology (IT)· HTML,https://wuzzuf.net/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew,"Alexandria, Egypt",2 months ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· RESTful APIs· Software Testing· Development· English· Information Technology (IT)· Framework· ORM,https://wuzzuf.net/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,CROCOSOFT,"New Cairo, Cairo, Egypt",2 days ago,Full Time - Work From Home,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· Flask· Git· Microservice Architecture· Relational Databases· Design Patterns· English· Information Technology (IT),https://wuzzuf.net/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb
Python Django Developer,Support Legal,"Dubai, United Arab Emirates",3 days ago,Full Time - Work From Home,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· JavaScript· Django·Python· Software Development· PostgreSQL· Computer Science· Engineering· Git,https://wuzzuf.net/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=17&l=sp&t=sj&a=python|search-v3|hpb
Java/Python Developer,Nabd,"New Cairo, Cairo, Egypt",3 days ago,Full Time,Experienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Java·Python· Information Technology (IT)· Software Development· Software· IT· Communication skills· Computer Science,https://wuzzuf.net/jobs/p/lXUto1XGcCgE-JavaPython-Developer-Nabd-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Linux Engineer,ElSewedy Electrometer,"6th of October, Giza, Egypt",1 day ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Software Development·Python· C++· Information Technology (IT)· Computer Science· SQL· Programming· Electronics,https://wuzzuf.net/jobs/p/UKNVnOsS4BfJ-Senior-Python-Linux-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python,Unifonic,"Cairo, Egypt",2 days ago,Full Time - Work From Home,Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· pthon· flask· Django· Agile· Computer Science· Engineering· Git· Information Technology (IT),https://wuzzuf.net/jobs/p/Wp5vF3QM9wPh-Senior-Software-Engineer---Python-Unifonic-Cairo-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb
Software Application Architect,YDS yasar digital services,"Sheikh Zayed, Giza, Egypt",2 days ago,Part Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Computer Engineering· Information Technology (IT)· APIs· Programming· REST· Software Development· Software Engineering,https://wuzzuf.net/jobs/p/aq4p81P6lSQm-Software-Application-Architect-YDS-yasar-digital-services-Giza-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,STC Solutions  Egypt,"Cairo, Egypt",2 days ago,Full Time,Experienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Docker·Python· Kubernetes· Ansible· Microservice Architecture· Java· Electrical Engineering· Computer Science,https://wuzzuf.net/jobs/p/H49O82xGl2xN-Senior-Devops-Engineer-STC-Solutions---Egypt-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb
Senior Penetration Tester (On-Site),Union Coop,"Dokki, Giza, Egypt",3 days ago,Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· OSCP· SOC· RED· Computer Engineering· Information Technology (IT)· Offensive Security· Computer Science· Engineering,https://wuzzuf.net/jobs/p/Ib4d16BHgZY3-Senior-Penetration-Tester-On-Site-Union-Coop-Giza-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Engineer,Kalasko,"Hurghada, Red Sea, Egypt",4 days ago,Full Time,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Agile· Information Technology (IT)· Data Engineering· Git· SQL· DevOps· Azure· AWS,https://wuzzuf.net/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb
Technical Leader,Luxoft (A DXC Technology Company),"Cairo, Egypt",5 days ago,Full Time - Work From Home,Manager · 7 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· C++ 17· C++· Linux· QNX· Management· Software Development· Computer Science· Engineering,https://wuzzuf.net/jobs/p/orzmffefKz7P-Technical-Leader-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Andela,"Cairo, Egypt",2 months ago,Full Time - Freelance / Project - Work From Home,Experienced · 1 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Software Development· Software Engineering· Engineering· Software· Development· Agile,https://wuzzuf.net/jobs/p/z2IIafg1IBcM-Devops-Engineer-Andela-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer (Remotely for USA),Mobile Wave 3,"Nasr City, Cairo, Egypt",2 months ago,Full Time,Experienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Cloud· Computer Science· DevOps· AWS· Information Technology (IT)· Java· Kubernetes·Python,https://wuzzuf.net/jobs/p/qEKSI3oC9xVf-DevOps-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb
Solutions Architect,Block Gemini,"Mohandessin, Giza, Egypt",2 months ago,Full Time,Manager · 8 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Software Engineering· Software· Solution Architecture· Node.js· Java Development· Computer Engineering· Computer Science,https://wuzzuf.net/jobs/p/XU1xFNtCj24G-Solutions-Architect-Block-Gemini-Giza-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Kortobaa LLC,"Alexandria, Egypt",2 months ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Agile· Computer Science· DevOps· Git· Information Technology (IT)· Kubernetes·Python,https://wuzzuf.net/jobs/p/RMNPt9bo21K9-Devops-Engineer-Kortobaa-LLC-Alexandria-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb
Data Management Specialist,M.Srour,"Imbaba, Giza, Egypt",2 months ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology· Information Technology (IT)· Microsoft Excel· Data Entry· Data Analysis· Microsoft Office· Business Analysis· Computer Science,https://wuzzuf.net/jobs/p/owHHtYyL6L6t-Data-Management-Specialist-M-Srour-Giza-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb
Data Analyst / Senior Data Analyst / Data Architect,National System LLC,"New Cairo, Cairo, Egypt",7 days ago,Full Time,Experienced · 2+ Yrs of Exp · Banking · Analyst/Research· Data Analysis· Data· Analysis· Data Analyst· Senior Data Analyst· Data Architecture· Data Architect· Data Science,https://wuzzuf.net/jobs/p/y7LpQDPafNJr-Data-Analyst-Senior-Data-Analyst-Data-Architect-National-System-LLC-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Confidential,"Maadi, Cairo, Egypt",4 days ago,Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Programming· IT· computer· Software Development· Kubernetes· Software Testing·Python,https://wuzzuf.net/jobs/p/I5JsTIacEnwN-Senior-Devops-Engineer-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,EXALT Technologies,"Cairo, Egypt",8 days ago,Full Time - Work From Home,Entry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Software· Software Development· Software Engineering· Computer Science· SW Development·Python· Bash Scripting· DevOps,https://wuzzuf.net/jobs/p/1g6RgZBnYRKL-Devops-Engineer-EXALT-Technologies-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Intelligence Engineer,ARROW Electronics,"Nasr City, Cairo, Egypt",9 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology ·Python· Information Technology (IT)· Software,https://wuzzuf.net/jobs/p/TsMhLnpM9Qti-Senior-Data-Intelligence-Engineer-ARROW-Electronics-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb
Chief Technology Officer,Mobile Wave 3,"Nasr City, Cairo, Egypt",9 days ago,Full Time,Senior Management · 10 - 20 Yrs of Exp · Project/Program Management · Engineering - Telecom/Technology· business· Computer Engineering· CTO· English· Finance· Information Technology (IT)·Python· Leadership,https://wuzzuf.net/jobs/p/d1mgFadsUh37-Chief-Technology-Officer-Mobile-Wave-3-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,FlairsTech,"Maadi, Cairo, Egypt",9 days ago,Full Time,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· AWS· Docker· Engineering· Git· Information Technology (IT)· JSON· Linux,https://wuzzuf.net/jobs/p/WCILTBMLDcc4-Senior-Devops-Engineer-FlairsTech-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb
Backend Developer Node.JS,Kortobaa LLC,"Alexandria, Egypt",10 days ago,Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Node.js· PHP· Software Development· Engineering· AWS· JavaScript,https://wuzzuf.net/jobs/p/zsknpoNSCqg8-Backend-Developer-NodeJS-Kortobaa-LLC-Alexandria-Egypt?o=37&l=sp&t=sj&a=python|search-v3|hpb
Senior Machine Learning Engineer,Nana,"Sheraton, Cairo, Egypt",10 days ago,Full Time,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical· Machine Learning·Python· JavaScript· r· Computer Science· Information Technology (IT)· Mathematics,https://wuzzuf.net/jobs/p/faQnVZ9r9Ght-Senior-Machine-Learning-Engineer-Nana-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb
System Administrator,Premier Services and Recruitment,"Smart Village, Giza, Egypt",10 days ago,Full Time,Experienced · 3 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· System Administration· Database· Linux· SQL·Python· Unix/Linux· Engineering,https://wuzzuf.net/jobs/p/ERbLUc2iuARb-System-Administrator-Premier-Services-and-Recruitment-Giza-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb
Cloud Solutions Engineer,Ashtar.app,"Maadi, Cairo, Egypt",11 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Cloud· Engineering· Information Technology (IT)· Linux· Networking· Computer Science· Telecom Engineering,https://wuzzuf.net/jobs/p/qLAoZdk2cUlo-Cloud-Solutions-Engineer-Ashtar-app-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|hpb
Regular QA Automation Engineer,Luxoft (A DXC Technology Company),"Cairo, Egypt",11 days ago,Full Time - Work From Home,Experienced · 2+ Yrs of Exp · Quality · Engineering - Other· QA Automation·Python· Computer Science· English· Information Technology (IT)· QA· Quality Assurance· Testing,https://wuzzuf.net/jobs/p/9JpufoDh7lYB-Regular-QA-Automation-Engineer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=41&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,WorkMotion,"Maadi, Cairo, Egypt",11 days ago,Full Time,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· AWS· Docker· Engineering· Information Technology (IT)· Jenkins· Kubernetes·Python· Terraform,https://wuzzuf.net/jobs/p/eHH9OdwHjsfn-Senior-DevOps-Engineer-WorkMotion-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer - Remotely (Urgently),Confidential,"Cairo, Egypt",12 days ago,Full Time - Part Time - Work From Home,Entry Level · 1 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology ·Python· Odoo· IT· Information Technology (IT)· Computer Science· Telecom Engineering,https://wuzzuf.net/jobs/p/Ud8GKb5NywOt-Odoo-Developer---Remotely-Urgently-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|hpb
DevOps Team Lead,Trufla,"Heliopolis, Cairo, Egypt",12 days ago,Full Time,Manager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· AWS· Azure· Docker· MySQL·Python· Software Engineering· Information Technology (IT)· Linux,https://wuzzuf.net/jobs/p/bjPMpXuN9kiF-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb
E-Commerce Tech Lead,Dimensions Cloud,"Nasr City, Cairo, Egypt",12 days ago,Full Time,Manager · 7 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· E-Commerce· Information Technology (IT)· Software· Software Development· PHP· Node.js· React· B2B,https://wuzzuf.net/jobs/p/ZTaaygiSRDEc-E-Commerce-Tech-Lead-Dimensions-Cloud-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,TechnoWays,"Nasr City, Cairo, Egypt",5 days ago,Full Time - Work From Home,Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· AWS· Computer Science· DevOps· Docker· Engineering· Information Technology (IT)· Git,https://wuzzuf.net/jobs/p/RzoPaMpXSrRg-Devops-Engineer-Techno-Ways-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb
Senior Odoo Developer,Archer Solutions,"New Cairo, Cairo, Egypt",13 days ago,Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Odoo· OpenERP·Python· PostgreSQL· Ubuntu· Github· Computer Engineering· Computer Science,https://wuzzuf.net/jobs/p/0nO05mENLEVC-Senior-Odoo-Developer-Archer-Solutions-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,KnowledgeNet,"Nasr City, Cairo, Egypt",8 days ago,Full Time,Experienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Agile· Computer Engineering· Computer Science· DevOps· Engineering· Information Technology (IT)· JavaScript,https://wuzzuf.net/jobs/p/8Tdpnh0XnXsi-Devops-Engineer-KnowledgeNet-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|hpb
QA Automation Engineer - Cairo,EXALT Technologies,"Cairo, Egypt",9 days ago,Full Time,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Software Development· Computer Engineering· Information Technology (IT)·Python· Django· Design Patterns· Unit Testing,https://wuzzuf.net/jobs/p/ABHgueDCOkrP-QA-Automation-Engineer---Cairo-EXALT-Technologies-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb
Robotics & Steam Instructor (for Kids),EduZone,"Cairo, Egypt",16 days ago,Full Time - Part Time,Entry Level · 0 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching · Training/Instructor· Arduino· 3D Printing· Instructor· Education· Programming· Mechanical· Robotics,https://wuzzuf.net/jobs/p/DYXOIa3JBCsT-Robotics-Steam-Instructor-for-Kids-Edu-Zone-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb
Experienced Python/Django Developer,Infoblink,"Dokki, Giza, Egypt",2 months ago,Full Time - Part Time - Work From Home,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Django· GitHUB· CSS· HTML· SaaS·Python· Information Technology (IT)· Node JS,https://wuzzuf.net/jobs/p/EVPLF753qKO9-Experienced-PythonDjango-Developer-Infoblink-Giza-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb
Back-End Developer,Reno Systems,"Maadi, Cairo, Egypt",16 days ago,Full Time,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·Python· Computer Science· Information Technology (IT)· Engineering· Django· Linux· Git· Apache,https://wuzzuf.net/jobs/p/msP51Z7G4yNw-Back-End-Developer-Reno-Systems-Cairo-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb
Power BI Developer,Confidential,"Maadi, Cairo, Egypt",11 days ago,Full Time,Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology· Analyzing data· Power BI· Powerbi· Data· Information Technology (IT)·Python· Telecom Engineering,https://wuzzuf.net/jobs/p/7JFufOdUk7wT-Power-BI-Developer-Cairo-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb
Senior C++ Software Developer,Luxoft (A DXC Technology Company),"Cairo, Egypt",17 days ago,Full Time,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· C++· OOP· Information Technology (IT)· Engineering· Telecommunication· German· Computer Science· Development,https://wuzzuf.net/jobs/p/Xa06oSsc5qnT-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb
Front End Developer - Intern,Dottopia,"Agouza, Giza, Egypt",17 days ago,Internship,Entry Level · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Design· English· Information Technology (IT)· JavaScript· Programming·Python· Software Development,https://wuzzuf.net/jobs/p/a1qWiKPpWqxg-Front-End-Developer---Intern-Dottopia-Giza-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Expleo,"Maadi, Cairo, Egypt",19 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Engineering· Java· Information Technology (IT)· Azure DevOps Server· Git· Software Development· Computer Science· AWS,https://wuzzuf.net/jobs/p/FMu0khwAsMiI-Senior-Devops-Engineer-Expleo-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Engineer,LxT,"Mohandessin, Giza, Egypt",20 days ago,Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Docker·Python· Programming· Software Development· Testing· Agile· AWS Cloud· Flask,https://wuzzuf.net/jobs/p/mHG1xO6JFYW7-Senior-Backend-Engineer-LxT-Giza-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb
Desktop Applications Junior Developer,SIMS OFFSHORE,"6th of October, Giza, Egypt",16 days ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Software Development· Computer Science· Information Technology (IT)· MySQL· Software Engineering· Framework· ADO.Net· Mysql Database,https://wuzzuf.net/jobs/p/PPdbWSpBD8po-Desktop-Applications-Junior-Developer-SIMS-OFFSHORE-Giza-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics,"Berlin, Germany",16 days ago,Full Time - Work From Home,Experienced · 4 - 12 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology· Machine Learning· Data Science·Python· SQL· Data· Computer Science· Information Technology (IT),https://wuzzuf.net/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=59&l=sp&t=sj&a=python|search-v3|hpb
Python Tech Lead,Eastern Enterprise,"Cairo, Egypt",2 months ago,Full Time - Work From Home,Manager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Git·Python· Programming· Software Development· Computer Science· Design· AWS,https://wuzzuf.net/jobs/p/T2ShpO8q8U6v-Python-Tech-Lead-Eastern-Enterprise-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb
Junior Backend Developer,SSC Egypt,"Cairo, Egypt",23 days ago,Full Time - Work From Home,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· back-end· backend· Computer Science· CSS· HTML· Information Technology (IT)· Java· JavaScript,https://wuzzuf.net/jobs/p/mpSd0slNGv3M-Junior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer,SSC Egypt,"Cairo, Egypt",23 days ago,Full Time - Work From Home,Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· back-end· backend· Computer Science· CSS· HTML· Information Technology (IT)· Java· JavaScript,https://wuzzuf.net/jobs/p/4HSZz47mNqFU-Senior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb
Data Scientist,Maxab,"Maadi, Cairo, Egypt",17 days ago,Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology· Data Science·Python· Tableau· Computer Science· Information Technology (IT)· Data Analysis· Big Data Analytics,https://wuzzuf.net/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb
