Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Java Developer,Fawry Banking & Payment Technology Services,"6th of October, Giza, Egypt",12 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 4 Yrs of Exp · Computer Science · Software · Software Development · Software Engineering · Information Technology (IT) · Design · JSP · Servlets,https://wuzzuf.net/jobs/p/BGGHY0xl5aUx-Java-Developer-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=13&l=sp&t=sj&a=java|search-v3|hpb
Java Tech Lead - Cairo,SSC Egypt,"Cairo, Egypt",9 days ago,Full Time,Manager · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · 8 - 10 Yrs of Exp · coding · Computer Science · Design · Engineering · Information Technology (IT) Java · Lead,https://wuzzuf.net/jobs/p/F0frl79Qy4cQ-Java-Tech-Lead---Cairo-SSC-Egypt-Cairo-Egypt?o=14&l=sp&t=sj&a=java|search-v3|hpb
Spring Java Developer,Hitop,"Nasr City, Cairo, Egypt",14 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp Java · Spring · Software Development · SQL · Software · MySQL · MVC · Information Technology (IT),https://wuzzuf.net/jobs/p/nof6vH46dlJZ-Spring-Java-Developer-Hitop-Cairo-Egypt?o=15&l=sp&t=sj&a=java|search-v3|hpb
Java Engineering Manager,Boutiqaat,"Cairo, Egypt",10 days ago,Full Time,Manager · IT/Software Development · 12 - 18 Yrs of Exp · Engineering · Information Technology (IT) Java · Spring · Agile · Spring Boot,https://wuzzuf.net/jobs/p/DTQpGLEzDFfF-Java-Engineering-Manager-Boutiqaat-Cairo-Egypt?o=16&l=sp&t=sj&a=java|search-v3|hpb
Senior/Lead Java Software Engineer,_VOIS Egypt,"Maadi, Cairo, Egypt",10 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp · Computer Science Java · Software Development · Spring,https://wuzzuf.net/jobs/p/doCz9fRxpSb5-SeniorLead-Java-Software-Engineer-VOIS-Egypt-Cairo-Egypt?o=17&l=sp&t=sj&a=java|search-v3|hpb
Java Supervisor,efinance,"Smart Village, Giza, Egypt",11 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 7 - 9 Yrs of Exp · Angular · Software · Computer Science · Spring · Engineering · Information Technology (IT) Java · MVC,https://wuzzuf.net/jobs/p/bUVnffVKDmUi-Java-Supervisor-e-finance-Giza-Egypt?o=18&l=sp&t=sj&a=java|search-v3|hpb
Java Team lead,Agile Technologies,"Maadi, Cairo, Egypt",11 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 10+ Yrs of Exp Script · Agile · Angular · Computer Science · CSS · HTML · Information Technology (IT) Java JavaScript,https://wuzzuf.net/jobs/p/S87vAIKlqgGK-Java-Team-lead-Agile-Technologies-Cairo-Egypt?o=19&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,LINK Development,"Maadi, Cairo, Egypt",15 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp · HTML javaScript · MySQL · OOP · WordPress · PHP · Laravel · Angular,https://wuzzuf.net/jobs/p/7OT3lZ8vPNfp-Senior-Java-Developer-LINK-Development-Cairo-Egypt?o=20&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Software Engineer,Jumia,"Cairo, Egypt",12 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp · Programming · Docker · Development · Design · Hibernate · Computer Science Java · Information Technology (IT),https://wuzzuf.net/jobs/p/jmzuECuriRlR-Senior-Java-Software-Engineer-Jumia-Cairo-Egypt?o=21&l=sp&t=sj&a=java|search-v3|hpb
Java Full Stack Software Engineer,Confidential,"Cairo, Egypt",15 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp Developer · Computer Science · developer · Information Technology (IT) Java Java Developer · Software Development · Spring MVC · Hibernate,https://wuzzuf.net/jobs/p/OPRqIHYg0X5H-Java-Full-Stack-Software-Engineer-Cairo-Egypt?o=22&l=sp&t=sj&a=java|search-v3|hpb
